lng,lat
-74.20986,40.81773
-74.20987,40.81765
-74.20998,40.81746
-74.21062,40.81682
-74.21002,40.81644
-74.21084,40.81536
-74.21142,40.8146
-74.20965,40.81354
-74.21166,40.81158
-74.21247,40.81073
-74.21294,40.81019
-74.21302,40.81009
-74.21055,40.80768
-74.20995,40.80714
-74.20674,40.80398
-74.20659,40.80382
-74.20634,40.80352
-74.20466,40.80157
-74.27508,40.6065
-74.27419,40.60623
-74.27382,40.60689
-74.27364,40.60728
-74.27364,40.60738
-74.27368,40.6076
-74.27377,40.60786
-74.27257,40.60817
-74.27156,40.60842
-74.27146,40.6079
-74.27136,40.60737
-74.26967,40.60743
-74.26959,40.60665
-74.26721,40.6068
-73.78966,40.6429
-73.7895,40.64267
-73.78923,40.6424
-73.78905,40.64222
-73.7889,40.64209
-73.78859,40.64191
-73.78836,40.64181
-73.78793,40.6417
-73.78756,40.64163
-73.78707,40.64159
-73.78674,40.64161
-73.78659,40.64166
-73.78646,40.64172
-73.78633,40.64182
-73.78612,40.6422
-73.78607,40.64244
-73.7861,40.64263
-73.78621,40.64305
-73.78621,40.64323
-73.78619,40.64337
-73.78612,40.6435
-73.78586,40.64382
-73.78583,40.64388
-73.78582,40.64397
-73.78585,40.64404
-73.78655,40.64488
-73.78666,40.64505
-73.78685,40.64546
-73.7869,40.64571
-73.7869,40.64592
-73.78687,40.64619
-73.78677,40.64634
-73.78668,40.64643
-73.78658,40.64649
-73.78645,40.64655
-73.78629,40.64657
-73.78613,40.64656
-73.786,40.64653
-73.78588,40.64647
-73.78578,40.6464
-73.7857,40.6463
-73.78566,40.64622
-73.78565,40.64607
-73.78574,40.64584
-73.78588,40.64565
-73.78611,40.64547
-73.78638,40.64534
-73.78677,40.6452
-73.78702,40.64514
-73.78744,40.64505
-73.7878,40.645
-73.78831,40.64496
-73.79014,40.64495
-73.7922,40.64491
-73.79348,40.64483
-73.79472,40.64474
-73.79569,40.64469
-73.79623,40.64469
-73.79671,40.64472
-73.79722,40.64478
-73.79768,40.64486
-73.79813,40.64496
-73.79865,40.64511
-73.79896,40.64522
-73.79953,40.64545
-73.80022,40.64582
-73.80062,40.64606
-73.80102,40.64636
-73.80178,40.64703
-73.80245,40.64766
-73.80314,40.64837
-73.80379,40.64909
-73.80479,40.65031
-73.80528,40.65096
-73.80578,40.65166
-73.80623,40.65236
-73.80658,40.65294
-73.80681,40.65342
-73.80702,40.65396
-73.80718,40.65449
-73.8073,40.65502
-73.80738,40.6557
-73.80731,40.65585
-73.80719,40.65642
-73.8071,40.6567
-73.807,40.65692
-73.80687,40.6571
-73.80672,40.65725
-73.80641,40.65752
-73.80622,40.65766
-73.80606,40.65781
-73.80593,40.65799
-73.80582,40.65819
-73.80574,40.6584
-73.80571,40.65862
-73.80571,40.65883
-73.80575,40.65908
-73.8058,40.65919
-73.80591,40.65934
-73.80607,40.65948
-73.80625,40.65959
-73.80647,40.65968
-73.80669,40.65973
-73.80693,40.65974
-73.80718,40.6597
-73.80745,40.65968
-73.80787,40.65955
-73.80848,40.65941
-73.80874,40.65933
-73.80903,40.65929
-73.8093,40.65927
-73.80958,40.65927
-73.81077,40.65931
-73.81067,40.66023
-73.81066,40.66036
-73.81068,40.66051
-73.81072,40.6606
-73.81081,40.66078
-73.81096,40.66089
-73.81122,40.66096
-73.81281,40.66126
-73.81332,40.6613
-73.81871,40.66228
-73.81894,40.66229
-73.81919,40.66226
-73.81939,40.66219
-73.82334,40.66059
-73.82352,40.66057
-73.8237,40.66059
-73.82395,40.66063
-73.82385,40.66077
-73.82379,40.66088
-73.82343,40.66199
-73.8232,40.66276
-73.82319,40.66287
-73.82321,40.663
-73.82305,40.66355
-73.82284,40.6643
-73.82236,40.66577
-73.82225,40.66609
-73.82263,40.66611
-73.82286,40.66605
-73.82299,40.66601
-73.82312,40.66593
-73.82344,40.66557
-73.82357,40.66546
-73.82372,40.66536
-73.82389,40.66527
-73.82409,40.66521
-73.8243,40.66517
-73.82452,40.66515
-74.33223,40.64375
-74.33242,40.64353
-74.33001,40.64222
-74.32882,40.64154
-74.32682,40.64039
-74.32589,40.63985
-74.31725,40.63485
-74.31404,40.63302
-74.30616,40.6283
-74.30592,40.62814
-74.3056,40.62783
-74.30549,40.62763
-74.30536,40.62722
-74.30524,40.62704
-74.30511,40.62689
-74.30447,40.62623
-74.30409,40.62652
-74.30374,40.62689
-74.30328,40.62753
-74.30297,40.6279
-74.30174,40.6292
-74.29912,40.63154
-74.29855,40.63202
-74.29796,40.63249
-74.29508,40.63461
-74.29448,40.63508
-74.29409,40.6354
-74.29373,40.63575
-74.29322,40.63626
-74.29209,40.63753
-74.29086,40.63902
-74.28998,40.64015
-74.28944,40.64091
-74.28908,40.64151
-74.2888,40.64201
-74.2883,40.64303
-74.28789,40.64408
-74.28762,40.64494
-74.28745,40.6457
-74.28733,40.64636
-74.28723,40.64724
-74.28717,40.64812
-74.28712,40.65661
-74.28709,40.66022
-74.28705,40.6611
-74.28698,40.66175
-74.28687,40.6624
-74.28667,40.66327
-74.28642,40.6641
-74.28619,40.66472
-74.28573,40.66576
-74.2853,40.66657
-74.28506,40.66697
-74.28434,40.66804
-74.28077,40.67287
-73.87893,40.64672
-73.87969,40.64624
-73.87976,40.64619
-73.88064,40.64697
-73.88138,40.64765
-73.88234,40.64849
-73.883,40.64911
-73.88338,40.64943
-73.88349,40.64941
-73.88411,40.64995
-73.8848,40.65076
-73.88624,40.6527
-73.88632,40.65281
-73.88747,40.65232
-73.88798,40.6521
-73.88896,40.65341
-73.88978,40.65306
-73.89059,40.65271
-73.89413,40.65747
-73.89424,40.65762
-73.89595,40.65786
-73.89613,40.65785
-73.89616,40.65796
-73.898,40.65768
-73.8988,40.65753
-73.89955,40.65738
-73.90021,40.65728
-73.90039,40.65724
-73.90051,40.65719
-73.90063,40.65712
-73.90076,40.65702
-73.90118,40.6566
-73.90135,40.65646
-73.90282,40.65553
-73.90299,40.65544
-73.90319,40.65536
-73.90321,40.65546
-73.90337,40.65542
-73.90616,40.65501
-74.18572,40.68929
-74.1858,40.68924
-74.18564,40.68909
-74.18529,40.68929
-74.18486,40.68954
-74.18482,40.68982
-74.18481,40.691
-74.18484,40.69121
-74.18487,40.6913
-74.18494,40.69143
-74.18506,40.69157
-74.18531,40.69177
-74.18612,40.69232
-74.18633,40.69247
-74.18641,40.69259
-74.18643,40.69267
-74.18644,40.69272
-74.18641,40.69288
-74.18636,40.69297
-74.18582,40.69346
-74.18532,40.69402
-74.18499,40.6945
-74.18472,40.69501
-74.1846,40.69533
-74.18415,40.69665
-74.18391,40.6975
-74.18372,40.6983
-74.18364,40.69882
-74.18354,40.6994
-74.18343,40.70017
-74.18337,40.70102
-74.18334,40.70237
-74.18331,40.70277
-74.18327,40.70297
-74.1832,40.70318
-74.18304,40.70351
-74.18278,40.70386
-74.18271,40.70393
-74.18292,40.70411
-74.18263,40.70436
-74.18242,40.70451
-74.18208,40.70471
-74.18172,40.70487
-74.1812,40.70506
-74.17962,40.70558
-74.17896,40.70581
-74.17861,40.70601
-74.1783,40.70626
-74.17801,40.70656
-74.17787,40.70675
-74.17771,40.70705
-74.1776,40.70737
-74.17753,40.7078
-74.17749,40.70983
-74.17747,40.71004
-74.17737,40.71025
-74.17716,40.71048
-74.17687,40.71064
-74.1766,40.71073
-74.17638,40.71075
-74.17376,40.71081
-74.17132,40.71081
-74.16736,40.71073
-74.16709,40.71072
-74.16486,40.71055
-74.16399,40.71045
-74.16285,40.71028
-74.16201,40.71011
-74.16117,40.7099
-74.16035,40.70966
-74.15958,40.70939
-74.15882,40.70908
-74.15654,40.70807
-74.15553,40.70767
-74.15478,40.7074
